,STABR,FSCSKEY,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,ADDRES_M,CITY_M,ZIP_M,ZIP4_M,CNTY,PHONE,C_RELATN,C_LEGBAS,C_ADMIN,C_FSCS,GEOCODE,LSABOUND,STARTDAT,ENDDATE,POPU_LSA,POPU_UND,CENTLIB,BRANLIB,BKMOB,MASTER,LIBRARIA,OTHPAID,TOTSTAFF,LOCGVT,STGVT,FEDGVT,OTHINCM,TOTINCM,SALARIES,BENEFIT,STAFFEXP,PRMATEXP,ELMATEXP,OTHMATEX,TOTEXPCO,OTHOPEXP,TOTOPEXP,LCAP_REV,SCAP_REV,FCAP_REV,OCAP_REV,CAP_REV,CAPITAL,BKVOL,EBOOK,AUDIO_PH,AUDIO_DL,VIDEO_PH,VIDEO_DL,EC_LO_OT,EC_ST,ELECCOLL,SUBSCRIP,HRS_OPEN,VISITS,REFERENC,REGBOR,TOTCIR,KIDCIRCL,ELMATCIR,PHYSCIR,ELINFO,ELCONT,TOTCOLL,LOANTO,LOANFM,TOTPRO,KIDPRO,YAPRO,TOTATTEN,KIDATTEN,YAATTEN,GPTERMS,PITUSR,WIFISESS,WEBVISIT,YR_SUB,OBEREG,RSTATUS,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE_ADD,LOCALE_MOD,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH,GEO_ID,Total,White,Black,AIAN,Asian,Hawaiian,Other,Two,White_pct,Black_pct,AIAN_pct,Asian_pct,Hawaiian_pct,Other_pct,Two_pct,Poverty,White_pov,Black_pov,Median_Income,NAME,STATE_POVERTY_RANKING,STATE_INCOME_RANKING,TOTATTEN_RANKING,SALARIES_RANKING,HRS_OPEN_RANKING,BKVOL_RANKING,PITUSR_RANKING
0,AK,AK0007,AK0007-002,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,BIG LAKE,99652,M,P.O. BOX 520829,BIG LAKE,99652,0829,MATANUSKA-SUSITNA,9078617635,NO,CO,SO,Y,CO1,N,07/01/2018,06/30/2019,8736,8736,1,0,0,0.0,1.0,2.0,3.0,366819,8250,1250,0,376319,182978,90687,273665,20955,0,982,21937,71213,366815,0,0,0,0,0,0,29586,20846,2268,13486,4043,0,0,49,49,45,2551,50745,606,3157,29525,12402,5091,24434,6732,11823,36257,91,80,375,160,36,5933,3326,988,13,8349,4447,-1,2019,8,1,0,0,0,-149.819,61.5475,2,170,07070,108317,42,42,5.02,1004,200,11260,0,A,1400000US02170000502,2276,1873,19,123,16,10,18,217,0.8229349736379613,0.008347978910369069,0.054042179261862916,0.007029876977152899,0.004393673110720563,0.007908611599297012,0.09534270650263621,13.2,12.8,,55000.0,BIG LAKE PUBLIC LIBRARY,5.0,3.0,3,4,5,4,4
1,AK,AK0032,AK0032-002,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,7849,500 HAZEL AVENUE,HOMER,99603,7849,KENAI PENINSULA,9072353180,NO,CI,SO,Y,CI1,N,01/01/2018,12/31/2018,5443,5443,1,0,0,2.0,2.0,5.9,7.9,880810,8442,0,30722,919974,429972,249549,679521,37788,8852,16271,62911,120644,863076,0,0,0,0,0,0,43678,21285,2189,14292,4641,0,6,49,55,124,2704,126803,18304,11149,166235,57940,19690,146545,5649,25339,171884,467,207,447,214,23,7785,5405,274,26,48736,24270,83296,2019,8,1,0,0,0,-151.532,59.64372,2,122,33140,58708,43,43,10.0,1046,200,-4,N,A,1400000US02122000100,214,41,1,133,4,4,3,28,0.19158878504672897,0.004672897196261682,0.6214953271028038,0.018691588785046728,0.018691588785046728,0.014018691588785047,0.1308411214953271,22.7,0.0,,38000.0,HOMER PUBLIC LIBRARY,2.0,6.0,5,6,6,5,6
2,AK,AK0055,AK0055-002,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,6667,655 SOUTH VALLEY WAY,PALMER,99645,6667,MATANUSKA-SUSITNA,9077611371,NO,CO,SO,Y,CO1,N,01/01/2018,12/31/2018,27036,27036,1,0,0,1.0,2.0,5.25,7.25,616257,7000,1250,0,624507,317663,121556,439219,44495,0,0,44495,132543,616257,0,0,0,0,0,0,73070,20846,4322,13486,5990,0,0,49,49,29,2196,110732,19278,14218,153571,74163,21344,132227,20833,42177,174404,187,63,844,530,161,26844,23499,1544,27,11628,15880,1044011,2019,8,1,0,0,0,-149.112,61.60052,2,170,58660,108317,32,32,12.01,2009,200,11260,0,A,1400000US02170001201,5621,4233,84,442,104,18,102,638,0.75306884895926,0.014943960149439602,0.07863369507205123,0.018502045899306173,0.0032022771748799147,0.018146237324319515,0.11350293542074363,13.5,12.1,21.1,65156.0,PALMER PUBLIC LIBRARY,4.0,1.0,6,5,3,6,5
3,AK,AK0072,AK0072-002,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,M,PO BOX 768,TALKEETNA,99676,0768,MATANUSKA-SUSITNA,9078617645,NO,CO,SO,Y,CO1,N,07/01/2018,06/30/2019,15566,15566,1,0,0,0.88,1.88,0.84,2.72,417232,15384,2500,0,435116,153830,92314,246144,38000,0,1500,39500,92756,378400,0,0,0,0,0,0,20881,20844,1108,13099,4469,0,0,49,49,27,2184,49276,1986,5750,149200,34930,15011,134189,11995,27006,161195,25,42,344,138,47,6148,4564,550,14,4697,7232,-1,2019,8,1,0,0,0,-150.089,62.30074,2,170,74830,108317,43,43,1.02,1002,200,11260,0,A,1400000US02170000102,2607,2230,4,84,24,0,52,213,0.8553893364019947,0.0015343306482546988,0.03222094361334868,0.009205983889528193,0.0,0.019946298427311087,0.08170310701956271,7.6,7.4,0.0,57270.0,TALKEETNA PUBLIC LIBRARY,6.0,2.0,4,3,2,2,3
4,AK,AK0080,AK0080-002,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,M,P.O. BOX 129,WILLOW,99688,0129,MATANUSKA-SUSITNA,9078617655,NO,CO,SO,Y,CO1,N,07/01/2018,06/30/2019,5870,5870,1,0,0,0.0,1.88,0.6,2.48,314597,7000,1250,0,322847,142191,90888,233079,15890,0,0,15890,61767,310736,0,0,0,0,0,0,26498,20844,1610,13099,3712,0,0,49,49,37,2338,32876,932,2137,24593,6474,3822,20771,4523,8345,29116,172,82,112,41,7,1995,1227,130,11,4564,9092,-1,2019,8,1,0,0,0,-150.043,61.73834,2,170,85280,108317,43,43,4.02,2095,200,11260,0,5,1400000US02170000402,2193,1872,16,94,21,1,18,171,0.853625170998632,0.00729594163246694,0.04286365709074327,0.009575923392612859,0.00045599635202918376,0.008207934336525308,0.07797537619699042,14.1,13.5,0.0,52679.0,WILLOW PUBLIC LIBRARY,3.0,4.0,2,2,4,3,2
5,AK,AK0103,AK0103-002,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,M,P.O. BOX 13388,TRAPPER CREEK,99683,0388,MATANUSKA-SUSITNA,9078617650,NO,CO,SO,Y,CO1,N,07/01/2018,06/30/2019,2247,2247,1,0,0,0.0,0.75,0.48,1.23,178422,8384,0,0,186806,-9,-9,-9,17167,0,1613,18780,-9,177922,0,0,0,0,0,0,14007,20846,1395,13486,3349,0,0,49,49,36,1300,5462,342,394,10903,3078,1849,9054,1731,3580,12634,0,9,89,74,9,748,554,45,9,1473,1908,-1,2019,8,1,0,0,0,-150.238,62.30724,2,170,78680,108317,43,43,1.01,1467,200,11260,0,A,1400000US02170000101,700,583,1,46,4,0,5,61,0.8328571428571429,0.0014285714285714286,0.06571428571428571,0.005714285714285714,0.0,0.007142857142857143,0.08714285714285715,24.6,25.3,100.0,44563.0,TRAPPER CREEK PUBLIC LIBRARY,1.0,5.0,1,1,1,1,1
6,AL,AL0002,100-001,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,35541,M,P.O. BOX 146,ARLEY,35541,0146,WINSTON,2053870129,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,346,346,1,0,0,0.0,0.5,0.5,1.0,37802,0,4000,3212,45014,-9,-9,-9,5287,1500,1101,7888,-9,45504,0,0,0,0,0,0,10741,42194,601,9234,603,613,2,61,63,16,1820,9210,4722,1685,8762,1026,1552,7210,133,1685,8895,0,3,65,6,0,626,352,0,5,1149,3933,8996,2019,5,1,0,0,0,-87.2135,34.07597,1,133,02500,23629,43,43,9655.02,2040,104,-4,N,A,1400000US01133965502,2728,2589,19,9,7,2,12,90,0.9490469208211144,0.006964809384164223,0.0032991202346041057,0.002565982404692082,0.0007331378299120235,0.004398826979472141,0.032991202346041054,15.0,12.6,100.0,33949.0,ARLEY PUBLIC LIBRARY,24.0,42.0,8,1,11,7,6
7,AL,AL0016,101-006,LINCOLN PUBLIC LIBRARY,47475 US HWY 78,LINCOLN,35096,6866,49 COMPLEX DRIVE,LINCOLN,35096,3600,TALLADEGA,2057634080,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,6664,6664,1,0,0,0.0,3.0,0.0,3.0,303841,5731,0,5100,314672,85590,46275,131865,8731,14000,0,22731,131604,286200,0,0,0,0,0,0,18315,49094,168,10239,126,613,2,61,63,15,2150,9479,9325,2087,98564,33327,92135,6429,5106,97241,103670,20,15,51,38,0,10216,9974,0,17,4994,5430,754,2019,5,1,0,0,0,-86.122,33.60373,1,121,43120,79978,42,42,102.01,1120,103,45180,1,A,1400000US01121010201,3996,2701,1086,10,11,3,29,156,0.6759259259259259,0.27177177177177175,0.0025025025025025025,0.0027527527527527527,0.0007507507507507507,0.007257257257257258,0.03903903903903904,9.4,11.0,5.5,63495.0,LINCOLN PUBLIC LIBRARY,33.0,7.0,37,21,20,16,22
8,AL,AL0019,101-009,OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,36203,1628,110 EAST 6TH STREET,OXFORD,36203,1628,CALHOUN,2568311750,ME,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,21180,21180,1,0,0,0.0,1.0,7.8,8.8,495502,22063,0,0,517565,275000,0,275000,18265,4964,3274,26503,35000,336503,0,0,0,0,0,0,64678,35193,3999,6889,4214,609,1,61,62,15,2496,60000,11835,25473,86584,39890,5725,80859,50,5775,86634,45,65,1253,638,8,7366,5064,8,24,7463,6812,35434,2019,5,2,0,0,0,-85.835,33.60958,1,15,57576,113605,13,13,12.01,2072,103,11500,0,A,1400000US01015001201,3361,1962,1028,18,32,4,121,196,0.5837548348705742,0.30586135078845583,0.005355548943766736,0.009520975900029753,0.0011901219875037191,0.036001190121987506,0.05831597738768224,25.1,24.5,26.3,34816.0,OXFORD PUBLIC LIBRARY,4.0,40.0,35,33,32,37,31
9,AL,AL0246,514-005,HOBSON CITY PUBLIC LIBRARY,610 MARTIN LUTHER KING DRIVE,HOBSON CITY,36201,7344,610 MARTIN LUTHER KING DRIVE,HOBSON CITY,36201,7344,CALHOUN,2568317069,HQ,CI,SO,Y,CI1,N,10/01/2018,09/30/2019,764,764,1,0,0,0.0,1.5,0.0,1.5,35000,2772,6500,3900,48172,-9,-9,-9,3022,0,2493,5515,-9,45061,0,0,0,0,0,0,4488,0,0,0,410,0,0,61,61,0,1560,5103,410,599,7208,2418,0,7208,3,3,7211,1,0,203,24,26,6318,994,234,8,3902,1000,980,2019,5,1,0,0,0,-85.8436,33.62044,1,15,35152,113605,23,23,12.01,2026,103,11500,0,A,1400000US01015001201,3361,1962,1028,18,32,4,121,196,0.5837548348705742,0.30586135078845583,0.005355548943766736,0.009520975900029753,0.0011901219875037191,0.036001190121987506,0.05831597738768224,25.1,24.5,26.3,34816.0,HOBSON CITY PUBLIC LIBRARY,5.0,41.0,34,2,4,1,18
